snapshot_date,warehouse_id,product_id,opening_stock_tons,stock_in_tons,stock_out_tons,closing_stock_tons,holding_cost_per_ton_inr,warehouse_capacity_tons,reorder_point_tons
2024-11-11,1,1,11386.6,820.1,750.0,11456.7,30.68,42037,8407.4
2024-11-18,1,1,11456.7,1485.6,1651.5,11290.8,20.55,42037,8407.4
2024-11-25,1,1,11290.8,1330.7,1319.7,11301.8,30.81,42037,8407.4
2024-12-02,1,1,11301.8,1740.0,1658.6,11383.2,32.88,42037,8407.4
2024-12-09,1,1,11383.2,807.8,828.1,11362.9,31.2,42037,8407.4
2024-12-16,1,1,11362.9,1255.9,1334.3,11284.5,38.77,42037,8407.4
2024-12-23,1,1,11284.5,879.5,769.9,11394.1,35.21,42037,8407.4
2024-12-30,1,1,11394.1,1290.4,1452.8,11231.7,30.41,42037,8407.4
2025-01-06,1,1,11231.7,779.4,690.0,11321.1,24.28,42037,8407.4
2025-01-13,1,1,11321.1,1201.4,1154.0,11368.5,18.41,42037,8407.4
2025-01-20,1,1,11368.5,1457.7,1369.4,11456.8,22.56,42037,8407.4
2025-01-27,1,1,11456.8,799.2,802.2,11453.8,29.8,42037,8407.4
2025-02-03,1,1,11453.8,1151.2,1226.4,11378.6,27.02,42037,8407.4
2025-02-10,1,1,11378.6,953.5,1030.9,11301.2,28.39,42037,8407.4
2025-02-17,1,1,11301.2,1124.1,1146.3,11279.0,18.01,42037,8407.4
2025-02-24,1,1,11279.0,1364.9,1579.6,11064.3,22.55,42037,8407.4
2025-03-03,1,1,11064.3,1957.1,1708.9,11312.5,39.81,42037,8407.4
2025-03-10,1,1,11312.5,1332.9,1436.6,11208.8,36.37,42037,8407.4
2025-03-17,1,1,11208.8,1728.1,1508.1,11428.8,30.08,42037,8407.4
2025-03-24,1,1,11428.8,1168.0,1353.2,11243.6,22.28,42037,8407.4
2025-03-31,1,1,11243.6,1764.7,1537.0,11471.3,28.46,42037,8407.4
2025-04-07,1,1,11471.3,598.4,617.0,11452.7,20.78,42037,8407.4
2025-04-14,1,1,11452.7,1786.1,2001.5,11237.3,20.59,42037,8407.4
2025-04-21,1,1,11237.3,1246.1,1230.6,11252.8,33.78,42037,8407.4
2025-04-28,1,1,11252.8,1232.1,1101.0,11383.9,31.17,42037,8407.4
2025-05-05,1,1,11383.9,549.9,639.2,11294.6,28.31,42037,8407.4
2025-05-12,1,1,11294.6,1192.6,1209.9,11277.3,19.26,42037,8407.4
2025-05-19,1,1,11277.3,557.4,642.0,11192.7,34.15,42037,8407.4
2025-05-26,1,1,11192.7,1278.3,1434.8,11036.2,27.48,42037,8407.4
2025-06-02,1,1,11036.2,1658.5,1904.7,10790.0,22.16,42037,8407.4
2025-06-09,1,1,10790.0,1000.0,1086.0,10704.0,21.49,42037,8407.4
2025-06-16,1,1,10704.0,2040.6,1889.6,10855.0,34.04,42037,8407.4
2025-06-23,1,1,10855.0,1683.9,1858.4,10680.5,37.57,42037,8407.4
2025-06-30,1,1,10680.5,1947.6,1898.4,10729.7,37.87,42037,8407.4
2024-01-01,1,2,12049.3,1045.1,1100.4,11994.0,32.87,42037,8407.4
2024-01-08,1,2,11994.0,1410.2,1460.6,11943.6,19.04,42037,8407.4
2024-01-15,1,2,11943.6,556.5,632.8,11867.3,26.89,42037,8407.4
2024-01-22,1,2,11867.3,568.6,635.7,11800.2,39.3,42037,8407.4
2024-01-29,1,2,11800.2,1447.7,1281.2,11966.7,22.18,42037,8407.4
2024-02-05,1,2,11966.7,1215.5,1156.1,12026.1,39.78,42037,8407.4
2024-02-12,1,2,12026.1,1900.0,1695.4,12230.7,19.08,42037,8407.4
2024-02-19,1,2,12230.7,1220.3,1094.6,12356.4,29.51,42037,8407.4
2024-02-26,1,2,12356.4,802.5,890.7,12268.2,34.69,42037,8407.4
2024-03-04,1,2,12268.2,864.7,865.3,12267.6,21.99,42037,8407.4
2024-03-11,1,2,12267.6,916.5,945.6,12238.5,20.6,42037,8407.4
2024-03-18,1,2,12238.5,1494.5,1660.9,12072.1,34.54,42037,8407.4
2024-03-25,1,2,12072.1,1356.2,1421.7,12006.6,31.51,42037,8407.4
2024-04-01,1,2,12006.6,1081.7,1236.6,11851.7,24.8,42037,8407.4
2024-04-08,1,2,11851.7,1234.7,1401.0,11685.4,34.11,42037,8407.4
2024-04-15,1,2,11685.4,1026.1,1125.8,11585.7,18.18,42037,8407.4
2024-04-22,1,2,11585.7,651.5,707.2,11530.0,26.07,42037,8407.4
2024-04-29,1,2,11530.0,817.2,806.3,11540.9,22.28,42037,8407.4
2024-05-06,1,2,11540.9,2048.4,2009.3,11580.0,35.53,42037,8407.4
2024-05-13,1,2,11580.0,1106.5,1214.0,11472.5,27.89,42037,8407.4
2024-05-20,1,2,11472.5,1232.7,1188.6,11516.6,38.03,42037,8407.4
2024-05-27,1,2,11516.6,818.3,931.0,11403.9,33.74,42037,8407.4
2024-06-03,1,2,11403.9,621.2,570.8,11454.3,34.01,42037,8407.4
2024-06-10,1,2,11454.3,1581.0,1802.4,11232.9,22.48,42037,8407.4
2024-06-17,1,2,11232.9,1296.4,1367.2,11162.1,36.61,42037,8407.4
2024-06-24,1,2,11162.1,1197.3,1223.2,11136.2,22.06,42037,8407.4
2024-07-01,1,2,11136.2,1307.2,1370.5,11072.9,27.91,42037,8407.4
2024-07-08,1,2,11072.9,975.0,944.2,11103.7,36.44,42037,8407.4
2024-07-15,1,2,11103.7,537.7,584.9,11056.5,32.9,42037,8407.4
2024-07-22,1,2,11056.5,1471.7,1568.5,10959.7,24.3,42037,8407.4
2024-07-29,1,2,10959.7,1640.2,1612.0,10987.9,26.56,42037,8407.4
2024-08-05,1,2,10987.9,657.5,628.6,11016.8,24.44,42037,8407.4
2024-08-12,1,2,11016.8,1469.2,1377.3,11108.7,28.19,42037,8407.4
2024-08-19,1,2,11108.7,842.2,921.2,11029.7,33.51,42037,8407.4
2024-08-26,1,2,11029.7,2093.3,1829.8,11293.2,35.67,42037,8407.4
2024-09-02,1,2,11293.2,1607.9,1449.5,11451.6,26.57,42037,8407.4
2024-09-09,1,2,11451.6,1846.4,1885.9,11412.1,31.1,42037,8407.4
2024-09-16,1,2,11412.1,822.0,822.7,11411.4,25.51,42037,8407.4
2024-09-23,1,2,11411.4,1147.1,1114.3,11444.2,37.4,42037,8407.4
2024-09-30,1,2,11444.2,1719.4,1801.0,11362.6,34.14,42037,8407.4
2024-10-07,1,2,11362.6,1314.3,1377.0,11299.9,37.98,42037,8407.4
2024-10-14,1,2,11299.9,875.3,801.9,11373.3,22.67,42037,8407.4
2024-10-21,1,2,11373.3,2013.6,1888.2,11498.7,28.23,42037,8407.4
2024-10-28,1,2,11498.7,624.2,690.5,11432.4,21.63,42037,8407.4
2024-11-04,1,2,11432.4,1765.9,1703.5,11494.8,22.79,42037,8407.4
2024-11-11,1,2,11494.8,1059.9,1124.2,11430.5,32.35,42037,8407.4
2024-11-18,1,2,11430.5,1148.1,1062.5,11516.1,33.29,42037,8407.4
2024-11-25,1,2,11516.1,889.4,939.0,11466.5,30.09,42037,8407.4
2024-12-02,1,2,11466.5,1702.0,1926.6,11241.9,25.89,42037,8407.4
2024-12-09,1,2,11241.9,1362.1,1437.8,11166.2,24.37,42037,8407.4
2024-12-16,1,2,11166.2,1076.0,1185.3,11056.9,31.28,42037,8407.4
2024-12-23,1,2,11056.9,2039.0,1815.3,11280.6,28.37,42037,8407.4
2024-12-30,1,2,11280.6,959.3,994.4,11245.5,23.02,42037,8407.4
2025-01-06,1,2,11245.5,1279.8,1437.3,11088.0,25.0,42037,8407.4
2025-01-13,1,2,11088.0,729.5,800.3,11017.2,32.77,42037,8407.4
2025-01-20,1,2,11017.2,2076.5,1972.7,11121.0,23.37,42037,8407.4
2025-01-27,1,2,11121.0,1189.4,1145.4,11165.0,37.08,42037,8407.4
2025-02-03,1,2,11165.0,1425.3,1595.0,10995.3,31.29,42037,8407.4
2025-02-10,1,2,10995.3,800.2,831.6,10963.9,39.23,42037,8407.4
2025-02-17,1,2,10963.9,1686.9,1819.7,10831.1,34.03,42037,8407.4
2025-02-24,1,2,10831.1,857.0,1005.5,10682.6,36.7,42037,8407.4
2025-03-03,1,2,10682.6,1572.9,1676.4,10579.1,34.99,42037,8407.4
2025-03-10,1,2,10579.1,579.1,572.3,10585.9,39.59,42037,8407.4
2025-03-17,1,2,10585.9,1651.0,1614.4,10622.5,26.05,42037,8407.4
2025-03-24,1,2,10622.5,1767.2,1546.6,10843.1,22.23,42037,8407.4
2025-03-31,1,2,10843.1,589.5,612.0,10820.6,29.37,42037,8407.4
2025-04-07,1,2,10820.6,917.0,886.0,10851.6,24.73,42037,8407.4
2025-04-14,1,2,10851.6,1792.1,1927.8,10715.9,35.67,42037,8407.4
2025-04-21,1,2,10715.9,1879.3,1879.6,10715.6,22.38,42037,8407.4
2025-04-28,1,2,10715.6,1724.1,1776.1,10663.6,29.97,42037,8407.4
2025-05-05,1,2,10663.6,573.8,601.2,10636.2,30.23,42037,8407.4
2025-05-12,1,2,10636.2,1691.7,1490.0,10837.9,30.84,42037,8407.4
2025-05-19,1,2,10837.9,940.2,924.3,10853.8,19.56,42037,8407.4
2025-05-26,1,2,10853.8,718.3,751.7,10820.4,18.49,42037,8407.4
2025-06-02,1,2,10820.4,551.4,647.0,10724.8,22.0,42037,8407.4
2025-06-09,1,2,10724.8,1612.0,1687.2,10649.6,37.85,42037,8407.4
2025-06-16,1,2,10649.6,1949.2,1757.6,10841.2,22.66,42037,8407.4
2025-06-23,1,2,10841.2,1014.9,1024.6,10831.5,27.5,42037,8407.4
2025-06-30,1,2,10831.5,602.9,654.1,10780.3,31.64,42037,8407.4
2024-01-01,1,3,11789.9,1078.5,1148.4,11720.0,30.89,42037,8407.4
2024-01-08,1,3,11720.0,1698.0,1596.9,11821.1,35.84,42037,8407.4
2024-01-15,1,3,11821.1,1434.2,1488.3,11767.0,25.65,42037,8407.4
2024-01-22,1,3,11767.0,624.8,640.9,11750.9,37.11,42037,8407.4
2024-01-29,1,3,11750.9,1589.6,1546.4,11794.1,22.92,42037,8407.4
2024-02-05,1,3,11794.1,1359.4,1503.6,11649.9,25.5,42037,8407.4
2024-02-12,1,3,11649.9,1267.5,1467.7,11449.7,24.85,42037,8407.4
2024-02-19,1,3,11449.7,633.2,704.2,11378.7,25.75,42037,8407.4
2024-02-26,1,3,11378.7,1482.6,1593.8,11267.5,18.44,42037,8407.4
2024-03-04,1,3,11267.5,1051.8,1147.9,11171.4,35.12,42037,8407.4
2024-03-11,1,3,11171.4,1842.2,1752.3,11261.3,31.49,42037,8407.4
2024-03-18,1,3,11261.3,1572.0,1632.7,11200.6,32.33,42037,8407.4
2024-03-25,1,3,11200.6,1146.5,1171.2,11175.9,35.35,42037,8407.4
2024-04-01,1,3,11175.9,1657.1,1708.1,11124.9,38.62,42037,8407.4
2024-04-08,1,3,11124.9,1334.2,1339.4,11119.7,29.03,42037,8407.4
2024-04-15,1,3,11119.7,1918.6,1682.6,11355.7,33.18,42037,8407.4
2024-04-22,1,3,11355.7,1077.0,1071.6,11361.1,24.76,42037,8407.4
2024-04-29,1,3,11361.1,1763.2,1533.5,11590.8,37.03,42037,8407.4
2024-05-06,1,3,11590.8,1230.7,1291.9,11529.6,27.96,42037,8407.4
2024-05-13,1,3,11529.6,1205.4,1050.5,11684.5,22.44,42037,8407.4
2024-05-20,1,3,11684.5,1767.6,1814.2,11637.9,32.34,42037,8407.4
2024-05-27,1,3,11637.9,2032.7,1978.1,11692.5,31.57,42037,8407.4
2024-06-03,1,3,11692.5,568.2,639.4,11621.3,29.89,42037,8407.4
2024-06-10,1,3,11621.3,1178.4,1141.0,11658.7,26.45,42037,8407.4
2024-06-17,1,3,11658.7,923.6,848.1,11734.2,36.59,42037,8407.4
2024-06-24,1,3,11734.2,1878.1,2063.4,11548.9,24.85,42037,8407.4
2024-07-01,1,3,11548.9,1127.9,999.0,11677.8,31.14,42037,8407.4
2024-07-08,1,3,11677.8,2216.5,1984.2,11910.1,23.4,42037,8407.4
2024-07-15,1,3,11910.1,1225.3,1257.9,11877.5,28.71,42037,8407.4
2024-07-22,1,3,11877.5,1925.5,2134.4,11668.6,34.99,42037,8407.4
2024-07-29,1,3,11668.6,995.4,928.7,11735.3,22.46,42037,8407.4
2024-08-05,1,3,11735.3,1460.9,1390.9,11805.3,27.5,42037,8407.4
2024-08-12,1,3,11805.3,2200.8,2073.0,11933.1,21.46,42037,8407.4
2024-08-19,1,3,11933.1,1108.5,1174.0,11867.6,24.5,42037,8407.4
2024-08-26,1,3,11867.6,833.3,920.1,11780.8,37.14,42037,8407.4
2024-09-02,1,3,11780.8,1889.6,2104.2,11566.2,35.41,42037,8407.4
2024-09-09,1,3,11566.2,926.5,920.5,11572.2,22.34,42037,8407.4
2024-09-16,1,3,11572.2,960.1,986.5,11545.8,33.51,42037,8407.4
2024-09-23,1,3,11545.8,1408.7,1288.8,11665.7,20.13,42037,8407.4
2024-09-30,1,3,11665.7,1279.4,1450.5,11494.6,20.59,42037,8407.4
2024-10-07,1,3,11494.6,913.5,1036.3,11371.8,35.06,42037,8407.4
2024-10-14,1,3,11371.8,1375.9,1318.7,11429.0,19.24,42037,8407.4
2024-10-21,1,3,11429.0,911.8,905.5,11435.3,19.8,42037,8407.4
2024-10-28,1,3,11435.3,694.2,810.5,11319.0,38.05,42037,8407.4
2024-11-04,1,3,11319.0,1036.6,1200.5,11155.1,28.13,42037,8407.4
2024-11-11,1,3,11155.1,1673.2,1844.8,10983.5,23.23,42037,8407.4
2024-11-18,1,3,10983.5,2158.9,1951.7,11190.7,30.07,42037,8407.4
2024-11-25,1,3,11190.7,760.3,830.1,11120.9,36.95,42037,8407.4
2024-12-02,1,3,11120.9,1464.2,1532.7,11052.4,18.57,42037,8407.4
2024-12-09,1,3,11052.4,799.5,748.1,11103.8,32.27,42037,8407.4
2024-12-16,1,3,11103.8,1102.7,1073.1,11133.4,34.61,42037,8407.4
2024-12-23,1,3,11133.4,1372.2,1488.5,11017.1,38.93,42037,8407.4
2024-12-30,1,3,11017.1,594.6,584.7,11027.0,22.91,42037,8407.4
2025-01-06,1,3,11027.0,1594.6,1565.6,11056.0,22.31,42037,8407.4
2025-01-13,1,3,11056.0,1287.5,1279.9,11063.6,27.25,42037,8407.4
2025-01-20,1,3,11063.6,559.8,613.8,11009.6,39.31,42037,8407.4
2025-01-27,1,3,11009.6,810.2,820.3,10999.5,24.47,42037,8407.4
2025-02-03,1,3,10999.5,1670.4,1632.2,11037.7,33.74,42037,8407.4
2025-02-10,1,3,11037.7,1467.5,1465.9,11039.3,39.13,42037,8407.4
2025-02-17,1,3,11039.3,1649.5,1561.1,11127.7,33.19,42037,8407.4
2025-02-24,1,3,11127.7,1284.3,1231.6,11180.4,31.3,42037,8407.4
2025-03-03,1,3,11180.4,2115.9,1850.1,11446.2,28.63,42037,8407.4
2025-03-10,1,3,11446.2,1374.0,1466.3,11353.9,36.6,42037,8407.4
2025-03-17,1,3,11353.9,1822.3,1616.7,11559.5,31.31,42037,8407.4
2025-03-24,1,3,11559.5,1443.4,1642.9,11360.0,31.35,42037,8407.4
2025-03-31,1,3,11360.0,1127.1,1124.4,11362.7,25.18,42037,8407.4
2025-04-07,1,3,11362.7,1087.9,992.4,11458.2,30.27,42037,8407.4
2025-04-14,1,3,11458.2,1026.1,950.1,11534.2,19.65,42037,8407.4
2025-04-21,1,3,11534.2,966.4,1016.3,11484.3,21.91,42037,8407.4
2025-04-28,1,3,11484.3,1927.9,1832.3,11579.9,32.75,42037,8407.4
2025-05-05,1,3,11579.9,1417.5,1471.2,11526.2,32.5,42037,8407.4
2025-05-12,1,3,11526.2,1699.0,1679.6,11545.6,28.36,42037,8407.4
2025-05-19,1,3,11545.6,798.9,912.8,11431.7,18.91,42037,8407.4
2025-05-26,1,3,11431.7,1558.9,1633.0,11357.6,33.58,42037,8407.4
2025-06-02,1,3,11357.6,1296.8,1317.8,11336.6,31.84,42037,8407.4
2025-06-09,1,3,11336.6,957.3,836.9,11457.0,25.26,42037,8407.4
2025-06-16,1,3,11457.0,1588.5,1718.5,11327.0,28.29,42037,8407.4
2025-06-23,1,3,11327.0,1226.1,1301.6,11251.5,25.67,42037,8407.4
2025-06-30,1,3,11251.5,1320.3,1199.3,11372.5,29.0,42037,8407.4
2024-01-01,1,4,10697.1,958.1,836.2,10819.0,19.98,42037,8407.4
2024-01-08,1,4,10819.0,1326.2,1452.0,10693.2,27.5,42037,8407.4
2024-01-15,1,4,10693.2,1178.6,1031.0,10840.8,30.13,42037,8407.4
2024-01-22,1,4,10840.8,922.0,894.2,10868.6,19.57,42037,8407.4
2024-01-29,1,4,10868.6,1766.1,1852.7,10782.0,37.43,42037,8407.4
2024-02-05,1,4,10782.0,1516.1,1673.3,10624.8,39.17,42037,8407.4
2024-02-12,1,4,10624.8,2075.1,1901.0,10798.9,27.93,42037,8407.4
2024-02-19,1,4,10798.9,1297.4,1484.1,10612.2,38.26,42037,8407.4
2024-02-26,1,4,10612.2,890.9,836.5,10666.6,35.63,42037,8407.4
2024-03-04,1,4,10666.6,2060.2,1877.8,10849.0,36.0,42037,8407.4
2024-03-11,1,4,10849.0,1572.6,1537.3,10884.3,18.92,42037,8407.4
2024-03-18,1,4,10884.3,1891.1,1920.5,10854.9,35.53,42037,8407.4
2024-03-25,1,4,10854.9,1060.9,1075.1,10840.7,28.17,42037,8407.4
2024-04-01,1,4,10840.7,1769.4,1937.2,10672.9,29.04,42037,8407.4
2024-04-08,1,4,10672.9,747.0,748.3,10671.6,30.01,42037,8407.4
2024-04-15,1,4,10671.6,766.2,723.2,10714.6,36.22,42037,8407.4
2024-04-22,1,4,10714.6,1787.4,1672.4,10829.6,21.1,42037,8407.4
2024-04-29,1,4,10829.6,1500.7,1416.4,10913.9,34.71,42037,8407.4
2024-05-06,1,4,10913.9,1612.2,1552.2,10973.9,34.01,42037,8407.4
2024-05-13,1,4,10973.9,1801.3,1764.6,11010.6,21.2,42037,8407.4
2024-05-20,1,4,11010.6,1801.5,1718.5,11093.6,33.11,42037,8407.4
2024-05-27,1,4,11093.6,876.1,979.0,10990.7,35.18,42037,8407.4
2024-06-03,1,4,10990.7,601.9,620.1,10972.5,29.19,42037,8407.4
2024-06-10,1,4,10972.5,590.2,573.5,10989.2,20.63,42037,8407.4
2024-06-17,1,4,10989.2,1026.8,894.4,11121.6,30.33,42037,8407.4
2024-06-24,1,4,11121.6,1951.7,1956.0,11117.3,35.68,42037,8407.4
2024-07-01,1,4,11117.3,572.6,610.8,11079.1,24.23,42037,8407.4
2024-07-08,1,4,11079.1,743.3,654.5,11167.9,29.1,42037,8407.4
2024-07-15,1,4,11167.9,1428.0,1419.3,11176.6,23.47,42037,8407.4
2024-07-22,1,4,11176.6,1998.2,1901.8,11273.0,20.72,42037,8407.4
2024-07-29,1,4,11273.0,1054.9,1240.4,11087.5,32.84,42037,8407.4
2024-08-05,1,4,11087.5,1467.7,1309.0,11246.2,38.84,42037,8407.4
2024-08-12,1,4,11246.2,618.9,705.8,11159.3,37.78,42037,8407.4
2024-08-19,1,4,11159.3,1289.1,1300.9,11147.5,30.56,42037,8407.4
2024-08-26,1,4,11147.5,1275.6,1233.3,11189.8,38.88,42037,8407.4
2024-09-02,1,4,11189.8,1363.5,1441.0,11112.3,22.69,42037,8407.4
2024-09-09,1,4,11112.3,1997.8,1951.3,11158.8,30.47,42037,8407.4
2024-09-16,1,4,11158.8,682.4,606.3,11234.9,28.33,42037,8407.4
2024-09-23,1,4,11234.9,1820.4,2021.9,11033.4,25.18,42037,8407.4
2024-09-30,1,4,11033.4,822.0,853.0,11002.4,39.49,42037,8407.4
2024-10-07,1,4,11002.4,1255.6,1143.4,11114.6,34.62,42037,8407.4
2024-10-14,1,4,11114.6,1009.8,986.2,11138.2,36.74,42037,8407.4
2024-10-21,1,4,11138.2,1340.4,1442.1,11036.5,36.99,42037,8407.4
2024-10-28,1,4,11036.5,1544.2,1349.8,11230.9,32.42,42037,8407.4
2024-11-04,1,4,11230.9,1193.5,1216.9,11207.5,37.36,42037,8407.4
2024-11-11,1,4,11207.5,1935.6,1989.1,11154.0,21.59,42037,8407.4
2024-11-18,1,4,11154.0,582.6,615.4,11121.2,25.52,42037,8407.4
2024-11-25,1,4,11121.2,1046.9,1171.7,10996.4,28.84,42037,8407.4
2024-12-02,1,4,10996.4,1746.1,1898.4,10844.1,33.06,42037,8407.4
2024-12-09,1,4,10844.1,621.4,595.7,10869.8,38.63,42037,8407.4
2024-12-16,1,4,10869.8,1031.9,942.5,10959.2,19.81,42037,8407.4
2024-12-23,1,4,10959.2,901.7,1058.3,10802.6,25.81,42037,8407.4
2024-12-30,1,4,10802.6,1031.6,975.2,10859.0,24.48,42037,8407.4
2025-01-06,1,4,10859.0,1598.2,1704.9,10752.3,22.91,42037,8407.4
2025-01-13,1,4,10752.3,1286.6,1228.9,10810.0,37.55,42037,8407.4
2025-01-20,1,4,10810.0,1696.1,1683.7,10822.4,39.52,42037,8407.4
2025-01-27,1,4,10822.4,1101.9,958.3,10966.0,26.47,42037,8407.4
2025-02-03,1,4,10966.0,890.0,922.4,10933.6,30.89,42037,8407.4
2025-02-10,1,4,10933.6,1055.6,1220.3,10768.9,25.83,42037,8407.4
2025-02-17,1,4,10768.9,1287.1,1227.0,10829.0,38.97,42037,8407.4
2025-02-24,1,4,10829.0,1895.0,1887.1,10836.9,30.52,42037,8407.4
2025-03-03,1,4,10836.9,1678.6,1525.2,10990.3,34.39,42037,8407.4
2025-03-10,1,4,10990.3,1553.9,1578.9,10965.3,37.12,42037,8407.4
2025-03-17,1,4,10965.3,1340.1,1492.7,10812.7,31.16,42037,8407.4
2025-03-24,1,4,10812.7,890.2,977.2,10725.7,32.27,42037,8407.4
2025-03-31,1,4,10725.7,1627.1,1431.8,10921.0,39.48,42037,8407.4
2025-04-07,1,4,10921.0,1017.8,1126.4,10812.4,21.09,42037,8407.4
2025-04-14,1,4,10812.4,1850.3,1910.0,10752.7,25.54,42037,8407.4
2025-04-21,1,4,10752.7,1219.2,1405.9,10566.0,32.23,42037,8407.4
2025-04-28,1,4,10566.0,1847.7,1731.2,10682.5,27.18,42037,8407.4
2025-05-05,1,4,10682.5,641.4,695.4,10628.5,23.84,42037,8407.4
2025-05-12,1,4,10628.5,946.3,1063.3,10511.5,30.66,42037,8407.4
2025-05-19,1,4,10511.5,1025.0,1026.1,10510.4,24.27,42037,8407.4
2025-05-26,1,4,10510.4,1218.8,1145.7,10583.5,19.94,42037,8407.4
2025-06-02,1,4,10583.5,1274.7,1231.0,10627.2,32.69,42037,8407.4
2025-06-09,1,4,10627.2,1958.5,1806.2,10779.5,34.26,42037,8407.4
2025-06-16,1,4,10779.5,1973.5,1755.3,10997.7,36.47,42037,8407.4
2025-06-23,1,4,10997.7,1574.7,1427.7,11144.7,25.18,42037,8407.4
2025-06-30,1,4,11144.7,1746.8,1936.5,10955.0,23.04,42037,8407.4
2024-01-01,1,5,10827.1,1602.9,1635.0,10795.0,34.24,42037,8407.4
2024-01-08,1,5,10795.0,1219.1,1255.5,10758.6,37.72,42037,8407.4
2024-01-15,1,5,10758.6,1182.9,1142.3,10799.2,36.89,42037,8407.4
2024-01-22,1,5,10799.2,813.9,838.4,10774.7,21.19,42037,8407.4
2024-01-29,1,5,10774.7,1411.7,1298.9,10887.5,19.21,42037,8407.4
2024-02-05,1,5,10887.5,675.4,629.8,10933.1,33.61,42037,8407.4
2024-02-12,1,5,10933.1,1071.6,1118.3,10886.4,24.2,42037,8407.4
2024-02-19,1,5,10886.4,634.3,631.7,10889.0,31.55,42037,8407.4
2024-02-26,1,5,10889.0,1791.6,1769.4,10911.2,21.34,42037,8407.4
