shipment_id,shipment_date,route_id,origin_id,destination_id,product_id,supplier_id,quantity_tons,distance_km,fuel_cost_inr,freight_cost_inr,handling_cost_inr,planned_delivery_date,actual_delivery_date,delay_days,demurrage_cost_inr,shipment_status,transport_mode_id
15,2024-06-18,4,10,8,3,1,994.2,1052,18501.17,48778.32,46459.19,2024-06-20,2024-06-25,5.0,127798.99,Delivered,1
16,2024-04-07,15,2,10,5,6,929.4,225,3821.92,3187.95,34455.94,2024-04-09,2024-04-12,3.0,69753.44,Delivered,3
17,2024-11-30,15,2,10,4,5,2401.4,225,10149.5,25715.91,63625.9,2024-12-02,2024-12-02,0.0,0.0,Delivered,1
18,2024-09-20,4,10,8,1,3,3379.2,1052,67800.9,104164.95,152126.95,2024-09-22,2024-09-22,0.0,0.0,Delivered,2
19,2025-04-15,8,3,5,4,1,1703.1,119,3921.45,10139.54,51901.99,2025-04-17,2025-04-20,3.0,143609.49,Delivered,1
20,2025-04-11,15,2,10,4,7,3028.9,225,13962.48,35192.02,76797.2,2025-04-13,2025-04-13,0.0,0.0,Delivered,1
21,2025-01-27,15,2,10,1,6,716.2,225,3153.73,2494.77,36551.07,2025-01-29,2025-02-04,6.0,141230.4,Delivered,3
22,2024-03-13,15,2,10,4,6,2967.5,225,12213.2,8767.34,86317.79,2024-03-15,2024-03-18,3.0,199170.6,Delivered,3
23,2024-09-05,14,13,7,1,3,268.1,1384,6936.22,10796.93,15263.42,2024-09-07,2024-09-07,0.0,0.0,Delivered,2
24,2024-09-04,4,10,8,1,3,2771.5,1052,56464.17,78244.96,106949.56,2024-09-06,2024-09-06,0.0,0.0,Delivered,2
25,2025-01-26,15,2,10,3,6,1998.6,225,9108.25,7002.37,65720.92,2025-01-28,2025-01-30,2.0,70683.99,Delivered,3
26,2024-11-07,15,2,10,4,6,3126.5,225,13184.81,9856.21,95070.66,2024-11-09,2024-11-11,2.0,202600.44,Delivered,3
27,2025-03-09,15,2,10,2,6,1153.0,225,5228.53,3392.67,65894.52,2025-03-11,2025-03-13,2.0,43029.45,Delivered,3
28,2025-01-20,4,10,8,3,7,1380.5,1052,27731.63,63935.64,75879.92,2025-01-22,2025-01-23,1.0,21620.26,Delivered,1
29,2025-05-29,4,10,8,1,5,2841.2,1052,60670.5,146755.02,95046.08,2025-05-31,2025-05-31,0.0,0.0,Delivered,1
30,2024-02-06,15,2,10,1,6,2233.7,225,9026.49,8043.14,85124.59,2024-02-08,2024-02-11,3.0,186069.02,Delivered,3
31,2024-03-17,3,8,7,3,3,852.6,1058,15698.53,26004.82,34135.56,2024-03-19,2024-03-19,0.0,0.0,Delivered,2
32,2024-03-11,24,5,14,2,3,2181.1,1718,65992.87,97002.93,74464.99,2024-03-13,2024-03-14,1.0,65985.73,Delivered,2
33,2024-07-30,4,10,8,1,2,3048.4,1052,59273.95,140691.58,115087.63,2024-08-01,2024-08-03,2.0,99537.92,Delivered,1
34,2024-06-22,15,2,10,1,1,217.9,225,908.04,2186.61,7640.09,2024-06-24,2024-06-30,6.0,28218.76,Delivered,1
35,2024-05-29,15,2,10,1,6,828.7,225,3313.13,2468.91,33625.53,2024-05-31,2024-06-01,1.0,14019.61,Delivered,3
36,2025-01-11,4,10,8,3,5,2751.9,1052,55203.67,136401.62,157256.86,2025-01-13,2025-01-13,0.0,0.0,Delivered,1
37,2025-05-25,4,10,8,2,5,1594.3,1052,34200.12,74408.07,65039.18,2025-05-27,2025-05-27,0.0,0.0,Delivered,1
38,2024-01-04,15,2,10,3,7,1325.6,225,5314.99,14926.86,74505.55,2024-01-06,2024-01-06,0.0,0.0,Delivered,1
39,2024-11-24,15,2,10,2,6,1340.8,225,5741.76,4836.97,53453.03,2024-11-26,2024-11-29,3.0,94570.16,Delivered,3
40,2025-06-24,4,10,8,4,3,1385.3,1052,29112.04,38182.46,36412.51,2025-06-26,2025-06-26,0.0,0.0,Delivered,2
41,2025-02-01,15,2,10,4,1,1066.4,225,4644.88,12124.5,58004.23,2025-02-03,2025-02-05,2.0,52721.52,Delivered,1
42,2024-01-25,19,15,7,2,8,2801.1,1063,52761.27,78577.06,167062.99,2024-01-27,2024-01-27,0.0,0.0,Delivered,2
43,2024-09-29,4,10,8,3,2,813.8,1052,15702.1,43943.02,31617.63,2024-10-01,2024-10-04,3.0,77931.95,Delivered,1
44,2024-01-18,4,10,8,4,5,1460.6,1052,26371.1,70945.85,44459.19,2024-01-20,2024-01-20,0.0,0.0,Delivered,1
45,2024-04-16,4,10,8,2,3,1667.4,1052,32205.36,47488.57,50201.66,2024-04-18,2024-04-18,0.0,0.0,Delivered,2
46,2024-09-22,4,10,8,1,7,1692.4,1052,34017.35,96311.35,71330.85,2024-09-24,2024-09-27,3.0,111909.9,Delivered,1
47,2024-02-10,4,10,8,2,1,2406.7,1052,44676.2,126569.58,114083.7,2024-02-12,2024-02-12,0.0,0.0,Delivered,1
48,2025-03-08,4,10,8,1,3,500.9,1052,10198.92,15630.76,23326.41,2025-03-10,2025-03-10,0.0,0.0,Delivered,2
49,2024-09-10,15,2,10,1,6,1378.2,225,5888.41,4897.78,78822.3,2024-09-12,2024-09-14,2.0,67928.32,Delivered,3
50,2024-09-02,4,10,8,4,3,379.2,1052,6988.55,11161.25,15496.01,2024-09-04,2024-09-05,1.0,5971.15,Delivered,2
51,2024-02-07,20,8,15,2,1,2159.3,834,31927.47,78354.9,56657.08,2024-02-09,2024-02-10,1.0,60737.53,Delivered,1
52,2024-08-01,4,10,8,1,5,1085.8,1052,20878.86,54685.26,30437.55,2024-08-03,2024-08-04,1.0,37320.14,Delivered,1
53,2024-09-30,4,10,8,4,2,3264.1,1052,63572.18,185748.48,194821.21,2024-10-02,2024-10-06,4.0,405922.0,Delivered,1
54,2024-12-17,15,2,10,1,6,3385.0,225,14530.36,10928.19,146408.19,2024-12-19,2024-12-22,3.0,170373.92,Delivered,3
55,2025-01-13,15,2,10,4,1,1353.0,225,5839.58,13723.87,73884.91,2025-01-15,2025-01-18,3.0,117050.15,Delivered,1
56,2024-10-03,4,10,8,3,3,2531.4,1052,50326.27,72706.45,83742.6,2024-10-05,2024-10-05,0.0,0.0,Delivered,2
57,2024-03-01,4,10,8,3,2,808.1,1052,14646.6,42632.33,31602.13,2024-03-03,2024-03-03,0.0,0.0,Delivered,1
58,2024-10-05,4,10,8,2,3,2662.7,1052,53451.45,73329.49,97969.18,2024-10-07,2024-10-07,0.0,0.0,Delivered,2
59,2025-04-21,9,11,3,5,5,3106.6,941,56253.11,136251.98,147027.09,2025-04-23,2025-04-23,0.0,0.0,Delivered,1
60,2024-09-27,4,10,8,3,5,2749.4,1052,55493.29,151440.35,110420.49,2024-09-29,2024-10-02,3.0,279245.22,Delivered,1
61,2024-10-04,4,10,8,2,3,1349.0,1052,26257.23,38005.26,39818.04,2024-10-06,2024-10-06,0.0,0.0,Delivered,2
62,2024-08-24,3,8,7,1,8,2026.2,1058,40544.73,62441.35,54314.86,2024-08-26,2024-08-28,2.0,83827.84,Delivered,2
63,2024-04-21,4,10,8,1,8,3089.9,1052,58128.49,85842.28,153570.6,2024-04-23,2024-04-24,1.0,87046.88,Delivered,2
64,2025-02-15,21,3,8,1,2,3095.4,1032,62971.74,142921.54,183150.33,2025-02-17,2025-02-17,0.0,0.0,Delivered,1
65,2024-03-15,15,2,10,3,2,1252.2,225,4997.74,14203.74,64569.05,2024-03-17,2024-03-17,0.0,0.0,Delivered,1
66,2024-03-25,5,12,5,3,2,2885.1,133,6686.63,17532.93,72371.0,2024-03-27,2024-03-27,0.0,0.0,Delivered,1
67,2024-04-16,4,10,8,4,1,3375.3,1052,65192.97,181053.12,109407.67,2024-04-18,2024-04-22,4.0,319709.68,Delivered,1
68,2025-05-31,4,10,8,3,2,719.7,1052,15078.57,34551.15,40109.62,2025-06-02,2025-06-02,0.0,0.0,Delivered,1
69,2024-07-05,4,10,8,3,1,2409.3,1052,44964.58,111931.69,62131.41,2024-07-07,2024-07-12,5.0,213575.2,Delivered,1
70,2024-11-19,15,2,10,2,6,560.0,225,2418.4,1991.85,25743.26,2024-11-21,2024-11-24,3.0,35757.04,Delivered,3
71,2025-04-11,15,2,10,3,6,1833.2,225,8450.6,6406.87,97980.99,2025-04-13,2025-04-14,1.0,52799.7,Delivered,3
72,2024-01-05,15,2,10,2,6,2710.1,225,10704.4,8313.39,94752.59,2024-01-07,2024-01-11,4.0,307280.95,Delivered,3
73,2024-02-23,24,5,14,2,8,1884.4,1718,59248.49,90756.17,61947.56,2024-02-25,2024-02-27,2.0,110435.19,Delivered,2
74,2024-08-10,24,5,14,3,3,1023.4,1718,33433.21,49552.91,59755.13,2024-08-12,2024-08-12,0.0,0.0,Delivered,2
75,2024-11-10,20,8,15,3,8,349.9,834,5447.33,8327.58,13935.46,2024-11-12,2024-11-14,2.0,15363.02,Delivered,2
76,2025-06-25,4,10,8,2,8,2625.3,1052,54354.28,82111.79,147273.11,2025-06-27,,,,In Transit,2
77,2024-06-30,4,10,8,3,2,729.5,1052,13933.05,40961.45,18550.16,2024-07-02,2024-07-05,3.0,49201.45,Delivered,1
78,2024-02-06,4,10,8,5,5,2111.6,1052,39042.45,119354.99,109919.0,2024-02-08,2024-02-08,0.0,0.0,Delivered,1
79,2025-04-30,12,4,11,3,1,2795.1,852,45884.3,107119.64,87425.04,2025-05-02,2025-05-04,2.0,136338.84,Delivered,1
80,2025-02-17,4,10,8,3,8,1203.1,1052,24177.59,37588.03,48970.35,2025-02-19,2025-02-20,1.0,23330.15,Delivered,2
81,2024-04-13,15,2,10,5,2,287.1,225,1199.35,3188.21,8017.61,2024-04-15,2024-04-15,0.0,0.0,Delivered,1
82,2025-02-23,15,2,10,4,7,1680.7,225,7522.63,17115.28,49249.66,2025-02-25,2025-02-25,0.0,0.0,Delivered,1
83,2024-05-29,12,4,11,4,5,1014.1,852,14620.74,46895.1,43737.84,2024-05-31,2024-05-31,0.0,0.0,Delivered,1
84,2024-01-24,4,10,8,3,3,1123.9,1052,21006.62,34302.95,37549.45,2024-01-26,2024-01-26,0.0,0.0,Delivered,2
85,2024-08-26,4,10,8,2,3,677.1,1052,13092.84,20721.32,22371.79,2024-08-28,2024-08-28,0.0,0.0,Delivered,2
86,2025-05-23,4,10,8,2,8,2098.4,1052,43307.3,58854.94,97743.93,2025-05-25,2025-05-25,0.0,0.0,Delivered,2
87,2025-05-05,15,2,10,3,5,2201.1,225,9806.84,23968.72,103158.38,2025-05-07,2025-05-07,0.0,0.0,Delivered,1
88,2024-07-11,15,2,10,5,7,2185.8,225,9234.54,25668.28,68266.23,2024-07-13,2024-07-17,4.0,131759.15,Delivered,1
89,2024-06-28,15,2,10,4,7,1038.7,225,4293.53,12039.61,41774.48,2024-06-30,2024-07-03,3.0,68497.03,Delivered,1
90,2024-08-07,4,10,8,1,3,1500.4,1052,29051.58,37113.82,43517.37,2024-08-09,2024-08-09,0.0,0.0,Delivered,2
91,2024-02-29,4,10,8,4,1,558.3,1052,10550.82,25443.96,27932.96,2024-03-02,2024-03-05,3.0,28862.41,Delivered,1
92,2024-06-13,4,10,8,1,7,3010.4,1052,55840.83,146118.35,103389.22,2024-06-15,2024-06-17,2.0,90657.75,Delivered,1
93,2024-04-19,15,2,10,1,2,2318.0,225,9556.88,26179.81,74304.96,2024-04-21,2024-04-22,1.0,66167.53,Delivered,1
94,2024-02-03,15,2,10,4,6,2112.1,225,8738.59,6425.1,61824.7,2024-02-05,2024-02-11,6.0,287929.97,Delivered,3
95,2024-01-13,4,10,8,4,8,880.1,1052,16207.71,25446.02,25081.46,2024-01-15,2024-01-15,0.0,0.0,Delivered,2
96,2024-01-15,19,15,7,5,3,1227.6,1063,23788.07,38926.36,59453.62,2024-01-17,2024-01-17,0.0,0.0,Delivered,2
97,2024-07-24,4,10,8,3,8,3364.0,1052,63539.78,92569.41,123242.05,2024-07-26,2024-07-26,0.0,0.0,Delivered,2
98,2025-05-25,15,2,10,4,6,2561.6,225,11974.33,8888.49,106805.6,2025-05-27,2025-06-02,6.0,343513.13,Delivered,3
99,2024-09-19,4,10,8,3,2,2454.1,1052,47273.07,115780.47,98775.41,2024-09-21,2024-09-23,2.0,118517.16,Delivered,1
100,2024-09-26,4,10,8,4,8,2920.8,1052,57567.17,76348.43,109087.0,2024-09-28,2024-09-30,2.0,152810.76,Delivered,2
101,2025-02-26,15,2,10,2,2,3144.8,225,14144.15,37514.33,128838.65,2025-02-28,2025-02-28,0.0,0.0,Delivered,1
102,2024-09-28,4,10,8,1,3,2037.0,1052,39713.57,53405.25,95342.18,2024-09-30,2024-09-30,0.0,0.0,Delivered,2
103,2024-08-25,4,10,8,1,3,2199.7,1052,41346.6,56516.28,66904.62,2024-08-27,2024-08-28,1.0,60569.75,Delivered,2
104,2024-08-09,4,10,8,4,7,2263.2,1052,44019.83,115695.57,87755.19,2024-08-11,2024-08-14,3.0,119403.16,Delivered,1
105,2024-06-23,4,10,8,2,2,1107.9,1052,20466.86,60866.33,50108.21,2024-06-25,2024-06-29,4.0,142173.15,Delivered,1
106,2024-11-30,15,2,10,1,7,248.7,225,1051.13,2818.13,13115.92,2024-12-02,2024-12-03,1.0,6707.79,Delivered,1
107,2025-02-20,15,2,10,1,2,513.0,225,2293.07,5122.67,23793.53,2025-02-22,2025-02-22,0.0,0.0,Delivered,1
108,2024-09-05,15,2,10,3,6,255.5,225,1096.75,880.76,14524.97,2024-09-07,2024-09-10,3.0,23742.01,Delivered,3
109,2025-04-28,4,10,8,2,2,1003.1,1052,20406.31,53072.25,57021.65,2025-04-30,2025-04-30,0.0,0.0,Delivered,1
110,2024-06-22,11,15,5,3,5,2945.8,1642,88248.33,256540.07,114052.06,2024-06-25,2024-06-28,3.0,305263.58,Delivered,1
111,2024-10-08,4,10,8,2,1,1503.3,1052,28673.25,75054.97,75618.59,2024-10-10,2024-10-13,3.0,123298.25,Delivered,1
112,2024-02-03,4,10,8,3,3,1866.4,1052,35345.87,55124.22,96192.3,2024-02-05,2024-02-05,0.0,0.0,Delivered,2
113,2024-06-27,4,10,8,4,7,2120.0,1052,39785.13,111213.76,110333.82,2024-06-29,2024-07-02,3.0,115510.55,Delivered,1
114,2024-08-10,19,15,7,3,3,1827.1,1063,36932.2,56619.82,95098.55,2024-08-12,2024-08-13,1.0,56204.26,Delivered,2
115,2024-04-01,15,2,10,1,7,1315.7,225,5415.53,14571.21,41745.98,2024-04-03,2024-04-03,0.0,0.0,Delivered,1
116,2024-04-13,15,2,10,1,5,3398.0,225,14195.04,41620.12,143212.36,2024-04-15,2024-04-15,0.0,0.0,Delivered,1
117,2025-02-05,8,3,5,3,5,3042.1,119,6812.49,18332.05,155342.38,2025-02-07,2025-02-09,2.0,122592.97,Delivered,1
118,2025-05-14,4,10,8,2,8,384.5,1052,8082.56,11137.79,22846.33,2025-05-16,2025-05-16,0.0,0.0,Delivered,2
119,2025-01-18,11,15,5,5,6,2585.3,1642,84937.0,62420.52,71850.22,2025-01-21,2025-01-26,5.0,246073.64,Delivered,3
120,2025-06-04,12,4,11,5,3,1424.1,852,23003.26,31607.95,42556.13,2025-06-06,2025-06-06,0.0,0.0,Delivered,2
121,2024-04-27,4,10,8,1,8,917.5,1052,17218.33,23120.58,33366.25,2024-04-29,2024-04-29,0.0,0.0,Delivered,2
122,2024-07-12,4,10,8,3,3,343.3,1052,6841.5,9773.71,16764.65,2024-07-14,2024-07-16,2.0,13408.41,Delivered,2
123,2024-09-30,4,10,8,1,3,1283.2,1052,24991.83,32542.22,34904.57,2024-10-02,2024-10-02,0.0,0.0,Delivered,2
124,2025-05-26,20,8,15,5,8,1604.5,834,27458.9,36606.5,75390.24,2025-05-28,2025-05-30,2.0,68786.75,Delivered,2
125,2024-02-04,4,10,8,1,7,709.6,1052,12414.36,40546.4,18083.92,2024-02-06,2024-02-08,2.0,48181.1,Delivered,1
126,2024-07-15,20,8,15,3,2,2496.1,834,38418.1,101863.7,133787.46,2024-07-17,2024-07-23,6.0,520388.97,Delivered,1
127,2024-07-21,4,10,8,4,5,2189.2,1052,41541.96,119938.76,112175.91,2024-07-23,2024-07-25,2.0,90220.47,Delivered,1
128,2024-11-20,12,4,11,4,8,2810.3,852,43302.91,63945.83,103095.14,2024-11-22,2024-11-23,1.0,56797.14,Delivered,2
129,2025-05-13,4,10,8,1,5,3416.7,1052,72067.46,186464.52,154047.44,2025-05-15,2025-05-15,0.0,0.0,Delivered,1
130,2025-01-20,4,10,8,5,1,2059.4,1052,41369.45,100633.2,102532.72,2025-01-22,2025-01-24,2.0,110925.91,Delivered,1
131,2024-07-27,3,8,7,4,7,2587.7,1058,52345.9,141772.78,145331.78,2024-07-29,2024-08-01,3.0,134952.59,Delivered,1
132,2024-12-11,4,10,8,4,8,1774.8,1052,35100.5,50365.2,67027.4,2024-12-13,2024-12-13,0.0,0.0,Delivered,2
133,2024-07-13,15,2,10,1,2,2102.1,225,9164.12,20976.7,94109.93,2024-07-15,2024-07-18,3.0,166153.22,Delivered,1
134,2025-02-26,4,10,8,2,5,1020.9,1052,21053.31,53629.11,26492.25,2025-02-28,2025-02-28,0.0,0.0,Delivered,1
135,2024-01-02,15,2,10,4,6,3397.1,225,13490.33,12213.91,117554.51,2024-01-04,2024-01-07,3.0,281116.4,Delivered,3
136,2024-02-13,4,10,8,1,5,390.6,1052,7331.78,18382.24,13287.37,2024-02-15,2024-02-15,0.0,0.0,Delivered,1
137,2025-04-18,4,10,8,4,8,1491.6,1052,31108.08,45529.41,76029.45,2025-04-20,2025-04-20,0.0,0.0,Delivered,2
138,2024-04-13,11,15,5,3,7,3137.5,1642,94225.42,250652.09,167558.11,2024-04-16,2024-04-16,0.0,0.0,Delivered,1
139,2024-10-20,4,10,8,3,1,3422.6,1052,67921.25,155782.54,171592.86,2024-10-22,2024-10-26,4.0,309825.16,Delivered,1
140,2024-01-19,24,5,14,1,3,3456.1,1718,101870.12,176753.01,127200.22,2024-01-21,2024-01-22,1.0,87935.41,Delivered,2
141,2024-12-29,15,2,10,1,5,3169.0,225,13961.18,30810.85,104617.19,2024-12-31,2025-01-01,1.0,58062.49,Delivered,1
142,2024-12-07,15,2,10,1,6,2637.2,225,11604.82,9400.79,126865.55,2024-12-09,2024-12-10,1.0,51795.92,Delivered,3
143,2025-06-09,4,10,8,5,3,1460.3,1052,30563.0,41040.64,51415.82,2025-06-11,2025-06-11,0.0,0.0,Delivered,2
144,2024-08-22,4,10,8,1,7,1463.3,1052,28680.32,69094.56,66493.48,2024-08-24,2024-08-26,2.0,44621.06,Delivered,1
145,2024-05-29,16,3,5,1,3,1443.3,328,8280.85,13292.17,83940.06,2024-05-31,2024-05-31,0.0,0.0,Delivered,2
146,2024-12-29,4,10,8,1,3,1201.8,1052,24268.85,36131.33,49470.23,2024-12-31,2024-12-31,0.0,0.0,Delivered,2
147,2024-03-04,3,8,7,5,3,2869.9,1058,55120.38,86739.42,92657.54,2024-03-06,2024-03-06,0.0,0.0,Delivered,2
148,2025-02-11,4,10,8,1,3,797.7,1052,15747.62,22254.22,35962.17,2025-02-13,2025-02-13,0.0,0.0,Delivered,2
149,2025-01-04,15,2,10,1,7,1780.3,225,7676.22,18433.77,45145.89,2025-01-06,2025-01-07,1.0,35823.78,Delivered,1
150,2024-11-08,15,2,10,1,7,1092.7,225,4724.97,12513.41,49047.63,2024-11-10,2024-11-11,1.0,19610.35,Delivered,1
151,2025-06-07,15,2,10,3,7,2441.1,225,11468.29,29043.33,137612.87,2025-06-09,2025-06-12,3.0,143520.2,Delivered,1
152,2025-02-20,15,2,10,3,6,222.4,225,994.11,797.86,12319.95,2025-02-22,2025-02-28,6.0,28479.5,Delivered,3
153,2024-08-25,4,10,8,4,3,1686.8,1052,31705.89,49200.73,49872.54,2024-08-27,2024-08-27,0.0,0.0,Delivered,2
154,2024-05-27,17,5,14,1,3,715.5,1079,13991.52,20183.13,35739.82,2024-05-29,2024-05-29,0.0,0.0,Delivered,2
155,2024-03-21,4,10,8,4,8,2720.5,1052,51331.02,80518.39,125227.86,2024-03-23,2024-03-23,0.0,0.0,Delivered,2
156,2025-04-03,15,2,10,5,5,2868.8,225,13028.78,33649.7,157650.01,2025-04-05,2025-04-06,1.0,52525.41,Delivered,1
157,2024-04-04,1,7,13,2,8,2833.5,746,37227.2,62264.13,112233.67,2024-04-06,2024-04-06,0.0,0.0,Delivered,2
158,2024-09-10,25,15,14,3,3,1862.4,363,12649.27,18215.99,94499.27,2024-09-12,2024-09-12,0.0,0.0,Delivered,2
159,2025-06-19,4,10,8,5,1,1272.8,1052,25882.73,62003.38,51261.47,2025-06-21,2025-06-26,5.0,146727.76,Delivered,1
160,2024-06-14,4,10,8,1,3,2374.2,1052,44555.6,66994.94,81862.91,2024-06-16,2024-06-16,0.0,0.0,Delivered,2
161,2024-08-08,4,10,8,1,7,2525.8,1052,51267.17,136871.07,96234.32,2024-08-10,2024-08-10,0.0,0.0,Delivered,1
162,2025-06-28,4,10,8,3,8,1994.4,1052,42198.49,49648.44,61981.53,2025-06-30,2025-07-02,2.0,122621.68,Delivered,2
163,2025-04-19,4,10,8,4,8,2479.9,1052,51076.98,73181.87,85880.73,2025-04-21,2025-04-22,1.0,47805.16,Delivered,2
164,2025-03-09,15,2,10,3,1,2375.6,225,10772.68,23764.82,61625.77,2025-03-11,2025-03-14,3.0,247821.93,Delivered,1
165,2025-02-23,4,10,8,1,3,1433.7,1052,29423.31,41232.63,75080.12,2025-02-25,2025-02-26,1.0,35328.09,Delivered,2
166,2024-02-26,17,5,14,3,7,2521.8,1079,47942.12,144325.12,104126.19,2024-02-28,2024-02-28,0.0,0.0,Delivered,1
167,2025-04-07,4,10,8,1,7,2183.1,1052,45860.38,113953.14,93846.78,2025-04-09,2025-04-10,1.0,59418.43,Delivered,1
168,2024-10-20,15,2,10,1,6,1679.4,225,7274.1,5702.39,44980.02,2024-10-22,2024-10-26,4.0,174212.12,Delivered,3
169,2024-01-13,4,10,8,3,3,380.1,1052,6999.83,10991.46,21647.44,2024-01-15,2024-01-15,0.0,0.0,Delivered,2
170,2025-05-16,15,2,10,1,5,990.1,225,4586.07,11647.02,38351.12,2025-05-18,2025-05-18,0.0,0.0,Delivered,1
171,2024-03-28,15,2,10,4,6,483.4,225,1952.0,1430.68,14330.61,2024-03-30,2024-04-04,5.0,74801.91,Delivered,3
172,2025-04-17,4,10,8,3,3,1415.7,1052,29268.36,37435.6,76465.62,2025-04-19,2025-04-19,0.0,0.0,Delivered,2
173,2024-01-18,19,15,7,3,8,3195.9,1063,58672.15,93695.99,130938.85,2024-01-20,2024-01-20,0.0,0.0,Delivered,2
174,2024-07-05,4,10,8,2,7,1693.1,1052,31598.19,78496.85,88968.1,2024-07-07,2024-07-10,3.0,115485.29,Delivered,1
175,2025-01-29,4,10,8,2,3,1227.6,1052,24378.76,31667.71,68043.24,2025-01-31,2025-01-31,0.0,0.0,Delivered,2
176,2024-06-27,15,2,10,1,6,321.6,225,1318.8,1147.33,16264.86,2024-06-29,2024-07-04,5.0,37908.85,Delivered,3
177,2024-05-31,15,2,10,2,1,898.1,225,3627.73,9605.33,43134.77,2024-06-02,2024-06-07,5.0,125049.72,Delivered,1
178,2024-01-17,3,8,7,2,6,3176.3,1058,59336.97,48774.19,111096.98,2024-01-19,2024-01-21,2.0,135193.1,Delivered,3
179,2025-02-05,4,10,8,1,8,1072.2,1052,21104.62,27347.86,28188.03,2025-02-07,2025-02-07,0.0,0.0,Delivered,2
180,2025-06-04,15,2,10,3,6,1813.6,225,8082.68,6153.33,54306.59,2025-06-06,2025-06-10,4.0,178322.49,Delivered,3
181,2025-02-24,15,2,10,4,5,2917.1,225,12935.99,29074.65,90227.13,2025-02-26,2025-02-26,0.0,0.0,Delivered,1
182,2025-05-20,25,15,14,1,7,2973.1,363,21604.02,57278.8,131389.52,2025-05-22,2025-05-22,0.0,0.0,Delivered,1
183,2024-02-13,11,15,5,5,3,1605.1,1642,47310.5,67776.35,61415.47,2024-02-15,2024-02-15,0.0,0.0,Delivered,2
184,2024-03-06,15,2,10,4,5,2013.1,225,8452.57,19754.64,66126.72,2024-03-08,2024-03-08,0.0,0.0,Delivered,1
185,2024-04-27,4,10,8,4,1,3022.9,1052,56729.47,152259.47,109366.95,2024-04-29,2024-05-02,3.0,194306.96,Delivered,1
186,2024-04-30,19,15,7,3,6,245.1,1063,4657.16,4157.69,11065.34,2024-05-02,2024-05-03,1.0,7426.47,Delivered,3
187,2024-03-28,4,10,8,1,5,2372.0,1052,43819.29,132819.22,76409.69,2024-03-30,2024-03-30,0.0,0.0,Delivered,1
188,2024-10-16,15,2,10,1,1,1133.1,225,4938.31,12532.42,58021.85,2024-10-18,2024-10-23,5.0,103284.55,Delivered,1
189,2025-05-24,4,10,8,5,5,2338.0,1052,47655.71,127371.4,69432.05,2025-05-26,2025-05-26,0.0,0.0,Delivered,1
190,2024-02-18,12,4,11,2,6,938.4,852,14035.31,12536.58,50357.36,2024-02-20,2024-02-23,3.0,44951.28,Delivered,3
191,2025-02-17,15,2,10,3,6,1419.1,225,6222.87,4551.4,59772.82,2025-02-19,2025-02-23,4.0,132644.93,Delivered,3
192,2024-11-25,8,3,5,5,1,1977.0,119,4499.96,12441.65,57279.19,2024-11-27,2024-11-30,3.0,156866.76,Delivered,1
193,2024-11-18,15,2,10,1,6,3344.2,225,14218.36,9489.98,108511.62,2024-11-20,2024-11-25,5.0,450824.93,Delivered,3
194,2024-07-17,4,10,8,4,1,1720.8,1052,32609.08,86617.77,74421.69,2024-07-19,2024-07-23,4.0,228293.33,Delivered,1
